祈跡,kiseki,,,
なんちって,nanntitte,nannchitte,nantitte,nanchitte
そりゃ君が好きだから,soryakimigasukidakara,,,
夢見月に何想ふ(ゆめみづきになにおもう),yumemidukininaniomou,,,
あいまい,aimai,,,
ノットビコーズ,nottobiko-zu,,,
愛し(かなし),kanasi,kanashi,,
ヒキコモリロリン,hikikomorirorinn,hikikomorirorin,,
俺色スカイ,oreirosukai,,,
シリメツレツ,sirimeturetu,shirimeturetu,sirimetsuretsu,shirimetsuretsu
セプテンバーさん,seputennba-sann,seputenba-san,,
25コ目の染色体,25komenosennsyokutai,25komenosennshokutai,25komenosensyokutai,25komenosenshokutai
最大公約数,saidaikouyakusuu,,,
トレモロ,toremoro,,,
有心論(ゆうしんろん),yuusinnronn,yuushinnronn,yuusinnron,yuushinnron
セツナレンサ,setunarennsa,,,
me me she,me me she,,,
遠恋,ennrenn,ennren,,
いいんですか？,iinndesuka?,,,
オーダーメイド,o-da-meido,,,
おしゃかしゃま,osyakasyama,oshakaoshama,,
叫べ,sakebe,,,
携帯電話,keitaidennwa,keitaidenwa,,
君と羊と青,kimitohitsujitoao,kimitohitujitoao,,
会心の一撃,kaishinnnoichigeki,kaisinnnoichigeki,kaishinnnoitigeki,kaisinnnoitigeki
アイアンバイブル,aiannbaiburu,aianbaiburu,,
億万笑者(おくまんしょうじゃ),okumannsyouja,okumannshouja,okumansyouja,okumanshouja
ふたりごと,hutarigoto,futarigoto,,
人生出会い,jinnseideai,jinseideai,,
正解,seikai,,,
